Date,Time,SO2,NO,NO2,NOX,CO,O3,PM25,PM10,Temperature,RH,Solar Rad,BP,Rain,Year,Month,Day,Week_Day
2017-04-01,1,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,2,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,3,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,4,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,5,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,6,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,7,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,8,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,9,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,10,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,11,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,12,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,13,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,14,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,15,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,16,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,17,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,18,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,19,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,20,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,21,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,22,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,23,,,,,,,,,,,,,,2017,4,1,Saturday
2017-04-01,0,,,,,,,,,,,,,,2017,4,1,Saturday
2017-05-01,1,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,2,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,3,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,4,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,5,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,6,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,7,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,8,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,9,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,10,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,11,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,12,,,,,,,,,,,,,,2017,5,1,Monday
2017-05-01,13,1.35,,,,1.01,,,,26.58,71.21,,,,2017,5,1,Monday
2017-05-01,14,,,,,0.87,,,,26.59,65.73,,,0.51,2017,5,1,Monday
2017-05-01,15,0.26,,,,1.57,,,,26.88,64.6,,,1.19,2017,5,1,Monday
2017-05-01,16,3.77,,,,1.72,,,,26.56,64.2,,,0.69,2017,5,1,Monday
2017-05-01,17,1.87,,,,1.93,,,,25.8,64.65,,,0.41,2017,5,1,Monday
2017-05-01,18,,,,,2.56,,,,25.81,72.67,,,,2017,5,1,Monday
2017-05-01,19,,,,,1.45,,,,26.54,80.6,,,0.58,2017,5,1,Monday
2017-05-01,20,4.4,,,,1.47,,,,26.31,86.04,,,0.9,2017,5,1,Monday
2017-05-01,21,6.94,,,,2.11,,,,25.95,88.88,,,0.11,2017,5,1,Monday
2017-05-01,22,7.38,,,,1.65,,,,25.86,88.82,,,,2017,5,1,Monday
2017-05-01,23,7.93,,,,2.94,,,,26.56,89.47,,,,2017,5,1,Monday
2017-05-01,0,2.53,,,,1.51,,,,26.48,88.74,,,0.17,2017,5,1,Monday
2017-06-01,1,0.51,,,,0.87,,,,25.89,89.4,,,0.19,2017,6,1,Thursday
2017-06-01,2,,,,,1.04,,,,26.04,93.38,,,,2017,6,1,Thursday
2017-06-01,3,,,,,0.72,,,,26.82,96.48,,,,2017,6,1,Thursday
2017-06-01,4,1.33,,,,0.42,,,,26.76,96.76,,,,2017,6,1,Thursday
2017-06-01,5,0.58,,,,0.54,,,,26.41,98.3,,,0.75,2017,6,1,Thursday
2017-06-01,6,0.06,,,,0.34,,,,26.75,96.81,,,0.78,2017,6,1,Thursday
2017-06-01,7,0.08,,,,0.31,,,,27.47,96.6,,,0.48,2017,6,1,Thursday
2017-06-01,8,1.45,,,,0.92,,,,27.55,96.75,,,1.01,2017,6,1,Thursday
2017-06-01,9,1.39,,,,0.89,,,,26.31,96.58,,,0.56,2017,6,1,Thursday
2017-06-01,10,1.93,,,,1.79,,,,26.81,86.41,,,0.92,2017,6,1,Thursday
2017-06-01,11,4.8,,,,1.46,,,,27.22,77.46,,,,2017,6,1,Thursday
2017-06-01,12,5.16,,,,0.66,,,,27.25,71.96,,,,2017,6,1,Thursday
2017-06-01,13,4.48,,,,1.4,,,,26.83,65.05,,,0.86,2017,6,1,Thursday
2017-06-01,14,2.48,,,,1.77,,,,26.38,60.95,,,,2017,6,1,Thursday
2017-06-01,15,1.56,,,,0.72,,,,27.12,60.63,,,1.68,2017,6,1,Thursday
2017-06-01,16,1.32,,,,0.89,,,,26.78,60.03,,,0.45,2017,6,1,Thursday
2017-06-01,17,,,,,1.61,,,,25.95,62.45,,,,2017,6,1,Thursday
2017-06-01,18,,,,,0.84,,,,26.13,70.67,,,0.6,2017,6,1,Thursday
2017-06-01,19,,,,,1.53,,,,26.64,80.07,,,0.32,2017,6,1,Thursday
2017-06-01,20,2.12,,,,1.7,,,,26.42,85.76,,,0.92,2017,6,1,Thursday
2017-06-01,21,4.44,,,,2.47,,,,26.1,90.68,,,0.24,2017,6,1,Thursday
2017-06-01,22,4.44,,,,2.18,,,,26.14,93.4,,,0.33,2017,6,1,Thursday
2017-06-01,23,5.74,,,,1.67,,,,26.99,92.26,,,,2017,6,1,Thursday
2017-06-01,0,1.57,,,,1.23,,,,26.6,93.94,,,,2017,6,1,Thursday
2017-07-01,1,0.61,,,,1.42,,,,26.29,96.09,,,,2017,7,1,Saturday
2017-07-01,2,,,,,1.67,,,,26.04,97.13,,,0.14,2017,7,1,Saturday
2017-07-01,3,,,,,0.83,,,,26.59,98.06,,,,2017,7,1,Saturday
2017-07-01,4,0.13,,,,0.37,,,,27.33,98.42,,,0.24,2017,7,1,Saturday
2017-07-01,5,,,,,0.38,,,,27.24,77.01,,,0.93,2017,7,1,Saturday
2017-07-01,6,,,,,0.18,,,,27.21,65.37,,,0.11,2017,7,1,Saturday
2017-07-01,7,,,,,0.16,,,,27.62,78.33,,,0.32,2017,7,1,Saturday
2017-07-01,8,,,,,0.39,,,,27.58,94.15,,,3.57,2017,7,1,Saturday
2017-07-01,9,,,,,1.25,,,,27.29,94.64,,,1.25,2017,7,1,Saturday
2017-07-01,10,,,,,1.25,,,,26.81,92.33,,,1.13,2017,7,1,Saturday
2017-07-01,11,0.1,,,,2.54,,,,26.89,73.76,,,0.21,2017,7,1,Saturday
2017-07-01,12,4.37,,,,1.95,,,,27.01,65.2,,,0.11,2017,7,1,Saturday
2017-07-01,13,5.15,,,,2.03,,,,26.63,55.16,,,0.91,2017,7,1,Saturday
2017-07-01,14,4.64,,,,1.27,,,,27.41,48.15,,,2.55,2017,7,1,Saturday
2017-07-01,15,3.2,,,,0.61,,,,27.94,40.55,,,1.58,2017,7,1,Saturday
2017-07-01,16,1.95,,,,0.43,,,,27.75,36.68,,,0.53,2017,7,1,Saturday
2017-07-01,17,0.57,,,,0.19,,,,26.33,45.28,,,0.39,2017,7,1,Saturday
2017-07-01,18,,,,,0.42,,,,26.76,47.21,,,,2017,7,1,Saturday
2017-07-01,19,0.14,,,,0.33,,,,27.31,54.65,,,0.43,2017,7,1,Saturday
2017-07-01,20,6.54,,,,0.76,,,,27.26,62.5,,,0.43,2017,7,1,Saturday
2017-07-01,21,11.95,,,,0.59,,,,26.79,67.21,,,,2017,7,1,Saturday
2017-07-01,22,16.01,,,,1.45,,,,26.92,70.21,,,,2017,7,1,Saturday
2017-07-01,23,17.64,,,,0.58,,,,27.37,74.84,,,0.15,2017,7,1,Saturday
2017-07-01,0,7.68,,,,0.18,,,,27.45,79.17,,,0.19,2017,7,1,Saturday
2017-04-02,1,3.65,73.78,44.23,118.01,0.9,3.31,111.08,212.43,27.3,83.77,,,0.48,2017,4,2,Sunday
2017-04-02,2,3.26,108.65,50.58,159.23,2.15,2.25,58.36,218.34,26.94,84.62,,,,2017,4,2,Sunday
2017-04-02,3,3.91,118.83,51.03,169.86,1.39,2.37,95.28,205.87,26.61,85.13,,,,2017,4,2,Sunday
2017-04-02,4,4.75,112.97,48.94,161.91,1.61,2.02,184.93,206.56,26.62,85.03,,,0.17,2017,4,2,Sunday
2017-04-02,5,5.56,105.62,45.03,150.65,1.36,4.03,55.51,206.41,26.94,84.62,,,,2017,4,2,Sunday
2017-04-02,6,4.38,106.08,43.86,149.94,1.41,4.4,120.28,213.32,26.93,85.46,,,,2017,4,2,Sunday
2017-04-02,7,4.46,106.78,49.04,155.83,1.07,3.49,142.95,224.43,26.5,85.18,,,,2017,4,2,Sunday
2017-04-02,8,4.95,149.01,56.73,205.74,1.74,2.33,71.2,211.17,26.51,84.81,,,,2017,4,2,Sunday
2017-04-02,9,5.48,187.11,66.45,253.57,3.22,3.47,57.66,220.84,26.89,80.06,,,,2017,4,2,Sunday
2017-04-02,10,7.1,171.94,69.17,241.11,3.54,3.69,82.46,249.36,26.93,67.5,,,,2017,4,2,Sunday
2017-04-02,11,7.87,139.68,70.73,210.41,2.42,4.21,70.29,237.1,25.97,57.95,,,,2017,4,2,Sunday
2017-04-02,12,6.57,106.33,69.28,175.61,3.97,5.77,92.01,231.98,26.2,45.88,,,,2017,4,2,Sunday
2017-04-02,13,3.91,69.61,57.38,126.99,1.53,3.8,,220.15,26.64,37.11,,,,2017,4,2,Sunday
2017-04-02,14,2.15,34.79,52.74,87.53,0.44,5.23,,179.46,26.66,36.24,,,0.35,2017,4,2,Sunday
2017-04-02,15,1.92,43.99,53.3,97.29,0.08,5.44,,166.78,26.27,34.45,,,1.16,2017,4,2,Sunday
2017-04-02,16,3.42,47.36,48.35,95.71,,6.68,,141.07,26.37,33.69,,,,2017,4,2,Sunday
2017-04-02,17,1.66,57.92,52.07,109.99,0.96,3.77,,139.23,26.98,33.46,,,1.52,2017,4,2,Sunday
2017-04-02,18,0.41,72.45,54.71,127.17,0.73,3.22,,155.07,26.9,41.81,,,1.58,2017,4,2,Sunday
2017-04-02,19,,88.87,54.5,143.37,0.83,4.65,,167.79,26.29,46.65,,,,2017,4,2,Sunday
2017-04-02,20,7.14,117.03,57.53,174.57,1.47,5.14,,192.97,26.37,50.22,,,,2017,4,2,Sunday
2017-04-02,21,11.42,145.58,68.53,214.1,4.02,6.36,,209.7,27.01,53.47,,,,2017,4,2,Sunday
2017-04-02,22,11.48,150.83,66.5,217.33,4.52,5.31,,234.22,26.93,55.02,,,1.19,2017,4,2,Sunday
2017-04-02,23,13.59,162.52,60.35,222.87,4.19,7,,222.3,26.27,59,,,,2017,4,2,Sunday
2017-04-02,0,6.62,199.19,65.16,264.35,4.09,4.36,,214.69,26.34,61.52,,,0.21,2017,4,2,Sunday
2017-05-02,1,9.1,261.88,71.26,333.14,3.54,7.35,,202.65,26.81,65.93,,,0.87,2017,5,2,Tuesday
2017-05-02,2,10.84,328.53,79.38,,4.05,6.53,,256.35,26.97,71.88,,,0.59,2017,5,2,Tuesday
2017-05-02,3,16.27,236.4,64.85,301.25,2.69,5.53,,376.95,26.19,69.69,,,,2017,5,2,Tuesday
2017-05-02,4,4.6,162.89,53.97,216.86,0.71,3.85,,293.8,26.49,69.54,,,0.72,2017,5,2,Tuesday
2017-05-02,5,4.06,104.63,46.56,151.19,0.32,5.97,,247.09,26.92,68.37,,,,2017,5,2,Tuesday
2017-05-02,6,2.02,76.2,42.48,118.68,0.67,4.88,,194.46,26.74,69.47,,,2.12,2017,5,2,Tuesday
2017-05-02,7,,95.09,50.39,145.49,0.2,6.82,,165.19,26.29,73.26,,,,2017,5,2,Tuesday
2017-05-02,8,10.06,155.81,61.91,217.73,1.3,3.98,207.84,171.33,26.38,68.16,,,0.88,2017,5,2,Tuesday
2017-05-02,9,10.93,114.74,53.29,168.03,1.19,5.51,155.03,171.86,26.89,55.12,,,,2017,5,2,Tuesday
2017-05-02,10,8.55,107.09,56.05,163.14,0.64,5.18,332.46,163.36,26.73,43.99,,,,2017,5,2,Tuesday
2017-05-02,11,3.19,64.5,52.41,116.91,0.24,4.78,,160.95,26.37,34.51,,,,2017,5,2,Tuesday
2017-05-02,12,3.39,42.22,42.75,84.97,,6.31,252.4,139.55,26.53,27.12,,,1.07,2017,5,2,Tuesday
2017-05-02,13,1.3,43.69,47.1,90.79,0.65,4.04,,91.64,27.45,26.02,,,0.43,2017,5,2,Tuesday
2017-05-02,14,,36.61,52.04,88.65,1.54,4,,96.16,28.5,25.47,,,1.22,2017,5,2,Tuesday
2017-05-02,15,0.12,31.58,49.91,81.49,1.12,4.83,,113.18,27.74,24.15,,,0.49,2017,5,2,Tuesday
2017-05-02,16,4.19,11.94,39.88,51.81,0.91,5.22,,116.91,27.77,25.13,,,,2017,5,2,Tuesday
2017-05-02,17,1.13,10.15,38.58,48.73,0.13,6.42,,127.47,27.94,26.62,,,1.14,2017,5,2,Tuesday
2017-05-02,18,,23.94,49.85,73.79,0.77,3.17,246.24,136.49,27.98,30.45,,,1.02,2017,5,2,Tuesday
2017-05-02,19,0.58,89.9,59.27,149.18,0.98,3.8,133.99,180,27.6,35.48,,,0.12,2017,5,2,Tuesday
2017-05-02,20,5.77,174.58,71.62,246.19,2.8,4.54,,203.38,27.76,40.79,,,0.51,2017,5,2,Tuesday
2017-05-02,21,10.13,208.84,73.1,281.94,6.04,5.84,,200.06,28.08,45.37,,,1.1,2017,5,2,Tuesday
2017-05-02,22,21.49,288.49,81.72,370.21,5.55,5.26,,206.88,28.15,45.95,,,,2017,5,2,Tuesday
2017-05-02,23,23.48,275.64,79.36,355,5.57,6.22,,282.59,27.48,51.15,,,,2017,5,2,Tuesday
2017-05-02,0,14.13,229.17,66.21,295.38,5.23,3.95,,290.7,27.45,51.94,,,0.53,2017,5,2,Tuesday
2017-06-02,1,21.15,331.22,79.14,,5.32,4.59,,382.47,28.07,57.52,,,0.15,2017,6,2,Friday
2017-06-02,2,22.57,299.84,74.65,374.49,6.08,6.77,,684.28,28.06,61.6,,,,2017,6,2,Friday
2017-06-02,3,26.89,218.3,57.3,275.61,4.03,4.66,,867.73,27.68,59.96,,,0.36,2017,6,2,Friday
2017-06-02,4,8.71,249.76,62.27,312.02,3.71,3.52,,513.87,27.68,64.4,,,,2017,6,2,Friday
2017-06-02,5,5.64,242.98,61.01,303.99,4.01,5.98,225.67,541.5,27.94,72.91,,,0.42,2017,6,2,Friday
2017-06-02,6,0.08,286.12,66.23,352.35,4.67,6.89,,534.37,27.98,75.9,,,0.12,2017,6,2,Friday
2017-06-02,7,,314.86,72.01,386.87,4.84,4.7,,417.8,27.78,76.85,,,0.14,2017,6,2,Friday
2017-06-02,8,15.5,238.81,67.3,306.11,4.63,5.2,,409.33,27.67,72.98,,,,2017,6,2,Friday
2017-06-02,9,30.15,250.93,78.68,329.61,4.68,5.3,,336.55,28.03,64.1,,,,2017,6,2,Friday
2017-06-02,10,21.28,220.41,79.5,299.91,4.84,4.44,,316.21,28.32,52.31,,,0.66,2017,6,2,Friday
2017-06-02,11,14.4,156.86,73.56,230.42,4.39,8.36,,333.35,27.28,44.89,,,,2017,6,2,Friday
2017-06-02,12,10.64,85.65,59.88,145.53,2.85,6.73,,325.38,26.67,36.34,,,0.64,2017,6,2,Friday
2017-06-02,13,7.54,64.24,51.05,115.29,0.98,5.22,,238.95,27.08,33.36,,,1.28,2017,6,2,Friday
2017-06-02,14,0.82,52.39,45.16,97.55,0.49,4.14,,186.33,27.08,28.09,,,3.68,2017,6,2,Friday
2017-06-02,15,,33.12,39.06,72.18,0.57,5.02,,152.65,26.73,25.95,,,2.3,2017,6,2,Friday
2017-06-02,16,3.95,9.18,39.45,48.63,0.06,7.03,,135.01,26.84,26.87,,,1.52,2017,6,2,Friday
2017-06-02,17,0.93,8.5,41.47,49.97,,6.5,,104.53,27.07,30.44,,,0.53,2017,6,2,Friday
2017-06-02,18,,17.34,47.19,64.52,,3.27,,124.35,27.05,33.94,,,0.17,2017,6,2,Friday
2017-06-02,19,,51.92,55.64,107.57,,2.42,,134.87,26.52,38.27,,,0.36,2017,6,2,Friday
2017-06-02,20,6.18,82.66,57.74,140.41,0.24,3.53,,157.93,26.41,42.36,,,,2017,6,2,Friday
2017-06-02,21,6.65,86.41,57.74,144.15,1.14,3.56,,157.94,26.81,44.33,,,0.3,2017,6,2,Friday
2017-06-02,22,7.42,88.94,55.85,144.79,1.42,3.8,,162.53,26.85,46.07,,,0.51,2017,6,2,Friday
2017-06-02,23,8.52,62.84,48.54,111.38,0.76,5.85,,176.63,26.26,48.24,,,0.86,2017,6,2,Friday
2017-06-02,0,7.18,67.98,44.27,112.25,0.65,4.02,,163.54,26.23,53.94,,,,2017,6,2,Friday
2017-07-02,1,6.9,46.8,36.87,83.67,,5.09,,167,26.66,56.03,,,0.08,2017,7,2,Sunday
2017-07-02,2,4.69,34.59,30.37,64.97,,5.73,,143.47,26.99,57.76,,,0.43,2017,7,2,Sunday
2017-07-02,3,4.16,25.82,23.73,49.55,0.12,6.63,,138.88,26.19,66.2,,,1.26,2017,7,2,Sunday
2017-07-02,4,4.77,21.75,22.95,44.7,,3.51,,118.22,26.28,69.45,,,1.32,2017,7,2,Sunday
2017-07-02,5,2.87,19.54,21.68,41.22,,6.91,,101.08,26.77,73.92,,,0.99,2017,7,2,Sunday
2017-07-02,6,1.41,18.84,25.77,44.6,,7.23,,108.08,26.83,78.73,,,1.83,2017,7,2,Sunday
2017-07-02,7,0.62,21.08,30.45,51.53,0.18,5.94,,109.53,26.31,81.38,,,0.81,2017,7,2,Sunday
2017-07-02,8,5.07,27.14,36.71,63.85,1.05,7.01,,116.91,26.38,81.71,,,0.78,2017,7,2,Sunday
2017-07-02,9,5.41,23.42,38.98,62.4,0.93,3.52,,110.19,26.84,78.36,,,2.19,2017,7,2,Sunday
