Date,Time,SO2,NO,NO2,NOX,CO,O3,PM25,PM10,Temperature,RH,Solar Rad,BP,Rain,Year,Month,Day,Week_Day
2016-10-16,1,8.4,,,,1.9,0.62,,118.18,26.21,57.75,,,0.18,2016,10,16,Sunday
2016-10-16,2,8.07,,,,1.64,0.81,,111.53,26.38,59.54,,,3.3,2016,10,16,Sunday
2016-10-16,3,5.53,,,,1.67,1.83,,101.82,26.65,65.4,,,1.05,2016,10,16,Sunday
2016-10-16,4,0.76,,,,2,0.82,,96.07,26.52,70.31,,,0.57,2016,10,16,Sunday
2016-10-16,5,,,,,1.56,0.97,,85.69,26.23,71.66,,,,2016,10,16,Sunday
2016-10-16,6,,,,,2.22,1.27,,102.38,26.33,72.55,,,0.06,2016,10,16,Sunday
2016-10-16,7,,,,,2.65,0.58,,120.45,26.6,70.06,,,0.14,2016,10,16,Sunday
2016-10-16,8,1.5,,,,3.67,0.98,,122.43,26.59,60.74,,,0.09,2016,10,16,Sunday
2016-10-16,9,2.36,,,,5.23,1.1,,113.36,26.37,50.28,,,3.95,2016,10,16,Sunday
2016-10-16,10,1.62,,,,5.01,0.48,,119.39,26.49,46.04,,,0.14,2016,10,16,Sunday
2016-10-16,11,0.68,,,,4.17,0.74,,114.35,26.61,40.54,,,1.31,2016,10,16,Sunday
2016-10-16,12,0.22,,,,3.53,0.88,,103.14,27.05,29.86,,,0.6,2016,10,16,Sunday
2016-10-16,13,,,,,2.26,1.05,,92.26,26.41,24.8,,,2.37,2016,10,16,Sunday
2016-10-16,14,,,,,0.16,0.96,,60.06,26.58,25.7,,,0.25,2016,10,16,Sunday
2016-10-16,15,,,,,0.38,1.02,,62.27,26.69,28.08,,,1.58,2016,10,16,Sunday
2016-10-16,16,,,,,0.19,0.87,,79.34,26.49,31.27,,,1.67,2016,10,16,Sunday
2016-10-16,17,,,,,0.26,0.65,,70.37,26.18,31.29,,,0.67,2016,10,16,Sunday
2016-10-16,18,,,,,0.61,0.58,,76.2,26.19,33.4,,,,2016,10,16,Sunday
2016-10-16,19,,,,,0.57,0.7,,93.32,26.51,41.79,,,0.67,2016,10,16,Sunday
2016-10-16,20,0.28,,,,0.62,0.58,,99.79,26.45,41.44,,,1.01,2016,10,16,Sunday
2016-10-16,21,2.47,,,,0.09,0.51,,107.9,26.38,38.64,,,0.91,2016,10,16,Sunday
2016-10-16,22,2.87,,,,0.28,0.81,,106.08,26.47,41.84,,,1.23,2016,10,16,Sunday
2016-10-16,23,4.34,,,,0.06,0.97,,97.28,26.59,48.1,,,0.25,2016,10,16,Sunday
2016-10-16,0,1.12,,,,,1.22,,91.39,26.41,55.32,,,0.84,2016,10,16,Sunday
2016-10-17,1,1.25,,,,0.13,0.98,,106.84,26.34,60.14,,,1.56,2016,10,17,Monday
2016-10-17,2,1.43,,,,0.08,0.61,,90.6,26.64,64.87,,,0.48,2016,10,17,Monday
2016-10-17,3,0.93,,,,,0.6,,92.95,26.51,67.83,,,1.53,2016,10,17,Monday
2016-10-17,4,0.45,,,,,0.7,,104.04,26.53,68.93,,,0.66,2016,10,17,Monday
2016-10-17,5,0.38,,,,,0.42,,100.08,26.41,68.91,,,0.43,2016,10,17,Monday
2016-10-17,6,0.21,,,,,0.59,,92.93,26.48,70.53,,,1.94,2016,10,17,Monday
2016-10-17,7,,,,,0.18,0.61,,89.76,26.6,72.54,,,0.81,2016,10,17,Monday
2016-10-17,8,2.12,,,,0.53,0.79,,99.3,26.69,64.64,,,3.92,2016,10,17,Monday
2016-10-17,9,4.04,,,,0.91,0.4,,110.87,26.36,54.45,,,1.35,2016,10,17,Monday
2016-10-17,10,3.3,,,,0.8,0.78,,119.17,26.65,48.58,,,2.48,2016,10,17,Monday
2016-10-17,11,2.02,,,,0.95,0.74,,97.36,26.72,39.78,,,1.71,2016,10,17,Monday
2016-10-17,12,0.36,,,,0.18,1.82,,93.7,26.67,40.29,,,3.29,2016,10,17,Monday
2016-10-17,13,0.09,,,,0.61,1.44,,99.11,26.44,37.28,,,0.27,2016,10,17,Monday
2016-10-17,14,,,,,0.86,2.1,,76.87,26.71,36.35,,,2.72,2016,10,17,Monday
2016-10-17,15,,,,,1.07,2.17,,81.8,26.5,36.76,,,1.68,2016,10,17,Monday
2016-10-17,16,0.66,,,,1.74,1.58,,78.79,26.38,37.7,,,1.53,2016,10,17,Monday
2016-10-17,17,2.82,,,,0.57,0.95,,60.8,30.41,39.94,,,2.58,2016,10,17,Monday
2016-10-17,18,4.54,,,,1.24,3.79,,71.79,29.92,43.15,,,2.45,2016,10,17,Monday
2016-10-17,19,0.53,,,,0.89,0.85,,93.72,26.66,47.85,,,2.42,2016,10,17,Monday
2016-10-17,20,1.7,,,,0.64,0.78,,94.61,26.13,48.02,,,3.11,2016,10,17,Monday
2016-10-17,21,3.41,,,,2.06,0.89,,101.61,26.44,50.82,,,0.7,2016,10,17,Monday
2016-10-17,22,4.33,,,,1.94,1.06,,107.61,26.67,54.93,,,1.7,2016,10,17,Monday
2016-10-17,23,6.06,,,,0.51,0.85,,101.86,26.36,58.21,,,0.72,2016,10,17,Monday
2016-10-17,0,2.39,,,,0.99,0.85,,100.4,26.43,61.61,,,1.55,2016,10,17,Monday
2016-10-18,1,2.11,,,,1.76,0.75,,103.16,26.39,65.36,,,1.14,2016,10,18,Tuesday
2016-10-18,2,1.09,,,,1.07,0.85,,87.1,26.47,68.45,,,0.75,2016,10,18,Tuesday
2016-10-18,3,0.26,,,,1.27,0.95,,79.58,26.42,72.86,,,1.88,2016,10,18,Tuesday
2016-10-18,4,2.63,,,,0.97,1.67,,85.53,26.93,74.49,,,1.07,2016,10,18,Tuesday
2016-10-18,5,6.95,,,,,2.96,,78.08,31.61,75.05,,,1.53,2016,10,18,Tuesday
2016-10-18,6,11.14,,,,1.15,0.95,,81.01,33.17,75.73,,,2.48,2016,10,18,Tuesday
2016-10-18,7,18.06,,,,2.24,0.83,,81.4,33.87,68.18,,,0.26,2016,10,18,Tuesday
2016-10-18,8,5.3,,,,2.57,0.7,,86.25,33.87,65.2,,,0.37,2016,10,18,Tuesday
2016-10-18,9,0.11,,,,2.06,1.54,,96.87,28.89,57.38,,,0.96,2016,10,18,Tuesday
2016-10-18,10,,,,,0.16,1.36,,133.26,28.05,59.6,,,,2016,10,18,Tuesday
2016-10-18,11,,,,,0.1,0.89,,150.05,26.82,52.36,,,,2016,10,18,Tuesday
2016-10-18,12,2.8,,,,0.06,1.11,,174.42,26.71,47.01,,,0.83,2016,10,18,Tuesday
2016-10-18,13,4.2,,,,0.71,1.22,,166.93,26.9,42.78,,,2.1,2016,10,18,Tuesday
2016-10-18,14,1.53,,,,1.89,1.94,,128.67,27.13,38.86,,,1.65,2016,10,18,Tuesday
2016-10-18,15,,,,,1.92,1.46,,112.21,26.34,39.02,,,1.17,2016,10,18,Tuesday
2016-10-18,16,,,,,2.41,1.22,,109.24,26.23,39.43,,,,2016,10,18,Tuesday
2016-10-18,17,,,,,1.8,2,,93.17,26.48,39.35,,,1.22,2016,10,18,Tuesday
2016-10-18,18,,,,,0.97,1.35,,104.34,26.89,34.82,,,0.15,2016,10,18,Tuesday
2016-10-18,19,0.17,,,,1.46,1.03,,109.21,28.45,36.47,,,0.91,2016,10,18,Tuesday
2016-10-18,20,0.48,,,,2.14,1.22,,153.37,26.31,40.74,,,1.73,2016,10,18,Tuesday
2016-10-18,21,8.71,,,,2.25,1.28,,170.52,26.43,45.14,,,0.55,2016,10,18,Tuesday
2016-10-18,22,21.54,,,,2.19,1.37,,158.45,26.61,46.85,,,0.46,2016,10,18,Tuesday
2016-10-18,23,24.3,,,,2.33,1.09,,148.01,26.43,49.33,,,0.64,2016,10,18,Tuesday
2016-10-18,0,5.5,,,,1.4,3,,139.6,26.4,53.25,,,1.1,2016,10,18,Tuesday
2016-10-19,1,3.32,,,,1.93,1.37,,129.94,26.32,57.54,,,0.59,2016,10,19,Wednesday
2016-10-19,2,1.25,,,,1.94,1.51,,106.64,26.64,62.17,,,1.29,2016,10,19,Wednesday
2016-10-19,3,,,,,2.25,0.83,,95.62,26.45,65.5,,,,2016,10,19,Wednesday
2016-10-19,4,,,,,1.43,0.43,,93.02,26.46,70.18,,,0.49,2016,10,19,Wednesday
2016-10-19,5,,,,,1.63,0.92,,90.57,26.3,73.28,,,,2016,10,19,Wednesday
2016-10-19,6,,,,,1.93,1.12,,96.25,26.51,74.85,,,,2016,10,19,Wednesday
2016-10-19,7,,,,,2.39,1.14,,95.43,26.59,74,,,,2016,10,19,Wednesday
2016-10-19,8,1.95,,,,2.42,1.23,,99.4,26.59,68.19,,,0.69,2016,10,19,Wednesday
2016-10-19,9,2.37,,,,3.36,0.85,,107.82,26.36,53.91,,,,2016,10,19,Wednesday
2016-10-19,10,1.58,,,,3.2,1.21,,114.75,26.49,46.97,,,1.07,2016,10,19,Wednesday
2016-10-19,11,0.36,,,,2.8,1.48,,99.22,26.64,42.23,,,1.89,2016,10,19,Wednesday
2016-10-19,12,,,,,2.29,1.58,,100.09,26.66,36.78,,,2.52,2016,10,19,Wednesday
2016-10-19,13,0.06,,,,1.93,1.58,,111.22,26.31,32.75,,,1.04,2016,10,19,Wednesday
2016-10-19,14,,,,,0.39,2.76,,103.73,26.55,35.15,,,1.05,2016,10,19,Wednesday
2016-10-19,15,,,,,0.35,2.26,,95.99,26.33,32.05,,,1.88,2016,10,19,Wednesday
2016-10-19,16,0.78,,,,0.07,1.69,,115.48,26.26,30.61,,,1.43,2016,10,19,Wednesday
2016-10-19,17,0.39,,,,0.59,1.52,,103.31,26.38,32.52,,,,2016,10,19,Wednesday
2016-10-19,18,0.05,,,,0.85,1.34,,91.35,26.62,40.57,,,0.48,2016,10,19,Wednesday
2016-10-19,19,,,,,0.18,1.06,,104.34,26.2,44.82,,,2.52,2016,10,19,Wednesday
2016-10-19,20,2.45,,,,0.41,0.96,,118.47,26.11,43.88,,,,2016,10,19,Wednesday
2016-10-19,21,4.73,,,,1.44,0.98,,106.97,26.41,49.48,,,1.58,2016,10,19,Wednesday
2016-10-19,22,5.42,,,,1.17,0.64,,105.73,26.66,54.85,,,0.38,2016,10,19,Wednesday
2016-10-19,23,6.85,,,,0.37,1.37,,85.27,26.3,58.06,,,1.56,2016,10,19,Wednesday
2016-10-19,0,3.43,,,,1.45,0.75,,92.37,26.29,60.87,,,0.92,2016,10,19,Wednesday
2016-10-20,1,2.57,,,,0.92,0.63,,115.32,26.32,62.13,,,0.3,2016,10,20,Thursday
2016-10-20,2,2.44,,,,1.04,0.64,,106.93,26.58,62.71,,,,2016,10,20,Thursday
2016-10-20,3,2.76,,,,0.46,1.8,,107.42,26.57,62.66,,,,2016,10,20,Thursday
2016-10-20,4,2.82,,,,,1.14,,98.66,26.3,64.79,,,,2016,10,20,Thursday
2016-10-20,5,1.65,,,,0.35,1.19,,93.99,26.27,67.26,,,,2016,10,20,Thursday
2016-10-20,6,0.47,,,,0.16,0.9,,102.35,26.45,64.42,,,1.35,2016,10,20,Thursday
2016-10-20,7,0.66,,,,0.51,1.71,,115.07,26.65,59.83,,,0.78,2016,10,20,Thursday
2016-10-20,8,2.82,,,,0.36,0.81,,109.24,26.55,54.74,,,2.82,2016,10,20,Thursday
2016-10-20,9,3.91,,,,1.5,0.63,,105.9,26.34,43.23,,,,2016,10,20,Thursday
2016-10-20,10,3.17,,,,1.87,1.28,,116.95,26.51,37.48,,,2.06,2016,10,20,Thursday
2016-10-20,11,1.56,,,,1.9,1.36,,92.54,26.65,33.53,,,2.03,2016,10,20,Thursday
2016-10-20,12,1.88,,,,2.21,1.21,,88.09,26.55,31.63,,,1.08,2016,10,20,Thursday
