Date,Time,SO2,NO,NO2,NOX,CO,O3,PM25,PM10,Temperature,RH,Solar Rad,BP,Rain,Year,Month,Day,Week_Day
2017-04-01,1,86.79,25.19,23.86,49.06,,2.01,220.26,307.25,18.56,81.99,7.97,1013.65,0.02,2017,4,1,Saturday
2017-04-01,2,57.27,,14.52,10.33,,1.91,226.48,311.19,17.75,82.26,8.21,1013.55,,2017,4,1,Saturday
2017-04-01,3,39.08,,11.21,4.24,,2.08,127.46,177.06,17.25,80.32,8.27,1013.2,0.02,2017,4,1,Saturday
2017-04-01,4,31.57,,10.3,1.33,,2.18,103.65,143.09,16.74,79.98,8.17,1012.93,,2017,4,1,Saturday
2017-04-01,5,17.93,,7.68,0.1,,2.49,89.79,117.41,16.31,79.9,8.17,1012.92,0.02,2017,4,1,Saturday
2017-04-01,6,8.87,,8.28,0.1,,2.05,82.06,101.22,15.9,81.77,7.99,1013.36,,2017,4,1,Saturday
2017-04-01,7,19.09,,11.37,4.26,,1.55,84.43,110.01,15.59,84.26,11.81,1013.97,,2017,4,1,Saturday
2017-04-01,8,20.54,3.05,13.64,16.69,,1.58,101.55,138.69,16.1,85.18,72.32,1014.66,,2017,4,1,Saturday
2017-04-01,9,25.56,0.78,16.26,17.04,,2.59,120.51,164.22,18.12,80.57,210.82,1015.09,0.02,2017,4,1,Saturday
2017-04-01,10,27.88,0.92,19.6,20.53,,3.1,140.28,198.84,20.24,73.38,347.98,1014.91,0.02,2017,4,1,Saturday
2017-04-01,11,27.45,,22.56,21.56,,4.94,150.9,221.15,22.6,63.69,458.24,1014.25,0.02,2017,4,1,Saturday
2017-04-01,12,30.08,,15.6,6.04,,10.96,146.36,223.9,23.94,55.4,530.19,1013.41,0.02,2017,4,1,Saturday
2017-04-01,13,29.49,,10.3,3.23,,15.9,125.15,179.88,25.35,46.54,543.69,1012.58,0.03,2017,4,1,Saturday
2017-04-01,14,30.15,,10.23,3.1,,19.63,91.7,149.35,26.01,43.57,479.31,1011.57,,2017,4,1,Saturday
2017-04-01,15,28.01,,8.88,1.92,,20.19,79.51,157.98,26.23,41.97,342.17,1010.83,,2017,4,1,Saturday
2017-04-01,16,32.33,,20.04,12.06,,13.27,63.08,115.15,25.97,44.46,204.41,1010.79,0.02,2017,4,1,Saturday
2017-04-01,17,42.74,12.34,33.52,45.86,,4.99,67.16,149.28,24.53,48.67,74.62,1011.24,0.03,2017,4,1,Saturday
2017-04-01,18,60.4,,27.13,22.59,,6.48,104.86,229.87,22.83,55.26,11.15,1011.71,0.02,2017,4,1,Saturday
2017-04-01,19,57.98,,23.77,14.65,,5.56,131.24,258.33,21.71,59.56,8.22,1012.23,,2017,4,1,Saturday
2017-04-01,20,42.7,,27.04,23.45,,4.1,138.57,234.39,21.13,62.43,8.44,1012.94,,2017,4,1,Saturday
2017-04-01,21,10.1,,28.23,25.95,,4.14,125.28,212.86,20.45,65.39,8.14,1013.56,0.02,2017,4,1,Saturday
2017-04-01,22,2.91,,24.9,15.89,,4.88,134.37,208.08,19.59,70.2,8.22,1014.02,,2017,4,1,Saturday
2017-04-01,23,8.77,,21.08,10.47,,4.77,146.89,211.56,18.9,74.73,7.98,1014.19,,2017,4,1,Saturday
2017-04-01,0,9.94,,20.31,11.73,,4,175.28,231.28,18.26,77.84,8.25,1014.03,,2017,4,1,Saturday
2017-05-01,1,11.19,,19.42,9.51,,3.78,184.84,241.63,17.91,80.11,8.02,1013.61,,2017,5,1,Monday
2017-05-01,2,10.55,12.95,24.82,37.77,,3.31,180.34,230.67,17.37,82.31,8.21,1012.91,,2017,5,1,Monday
2017-05-01,3,12.33,27.61,22.01,49.62,,3.31,190.91,253.97,16.68,85.56,8.22,1012.58,,2017,5,1,Monday
2017-05-01,4,17.17,,16.39,10.17,,3.44,187.33,251.75,16.13,88.21,8.31,1012.29,,2017,5,1,Monday
2017-05-01,5,8.59,,13.68,5.59,,3.51,167.28,210.31,15.59,90.11,7.9,1011.92,0.02,2017,5,1,Monday
2017-05-01,6,2.81,,14.14,6.58,,3.46,175.95,220.72,15.45,91.8,7.95,1012.01,,2017,5,1,Monday
2017-05-01,7,7.83,0.76,18.71,19.46,,3.32,174.03,213.38,15.61,92.33,9.94,1012.58,,2017,5,1,Monday
2017-05-01,8,9.24,3.03,18.52,21.55,,3.48,175.09,226.64,15.77,92.51,36.04,1013.57,0.02,2017,5,1,Monday
2017-05-01,9,12.52,,11.55,6.94,,4.08,178.13,247.64,15.94,92.41,66.97,1014.62,0.02,2017,5,1,Monday
2017-05-01,10,16.17,,9.17,3.81,,4.6,181.87,234.62,16.42,91.59,107.79,1015.09,,2017,5,1,Monday
2017-05-01,11,10.96,,9.01,4.72,,5.43,176.24,223.92,17.48,90.07,197.19,1014.81,0.02,2017,5,1,Monday
2017-05-01,12,5.66,,6.52,0.68,,,184.09,255.13,19.12,82.17,419.62,1013.77,,2017,5,1,Monday
2017-05-01,13,15.61,,10.32,1.12,,,186.98,227.19,21.52,70.48,495.31,1012.59,,2017,5,1,Monday
2017-05-01,14,,,,,,10.39,185.74,266.97,22.79,66.51,449.98,1011.7,0.02,2017,5,1,Monday
2017-05-01,15,26.11,,,,,11.79,174,265.06,23.53,65.22,334.34,1011.07,0.02,2017,5,1,Monday
