Date,Time,SO2,NO,NO2,NOX,CO,O3,PM25,PM10,Temperature,RH,Solar Rad,BP,Rain,Year,Month,Day,Week_Day
2016-10-16,1,1.49,22.58,17.32,39.9,2.2,1.14,56.16,97.89,27.17,80.49,8.38,1008.68,,2016,10,16,Sunday
2016-10-16,2,1.77,8.81,13.99,22.8,2.21,1.13,60.85,105.78,26.88,82.5,8.13,1008.36,,2016,10,16,Sunday
2016-10-16,3,1.68,0.3,10.02,10.32,2.21,1.21,56.25,88.5,26.58,83.84,8.18,1008.24,,2016,10,16,Sunday
2016-10-16,4,1.81,,5.52,2.35,2.21,1.24,62.65,85.06,26.28,85.42,8.13,1008.26,,2016,10,16,Sunday
2016-10-16,5,1.45,,8.25,5.25,2.21,1.24,51.4,75.21,26,86.59,8.28,1008.34,,2016,10,16,Sunday
2016-10-16,6,1.39,,6.48,3.65,2.2,1.18,63.1,69.17,25.78,87.38,8.75,1008.8,,2016,10,16,Sunday
2016-10-16,7,1.77,12.77,8.08,20.84,2.21,1.09,66.46,83.58,26.05,87.27,52.56,1009.5,,2016,10,16,Sunday
2016-10-16,8,2.38,21.77,20.06,41.83,2.2,1.21,80.26,110.45,28.39,75.73,293.95,1009.94,0.02,2016,10,16,Sunday
2016-10-16,9,3.17,3.3,21.04,24.34,2.21,3.54,57.58,95.46,29.61,66.71,529.56,1010.28,,2016,10,16,Sunday
2016-10-16,10,2.98,,15.37,13.28,2.21,5.59,42.68,78.4,30.95,63.01,724.87,1010.6,,2016,10,16,Sunday
2016-10-16,11,0.78,,12.33,8.06,2.22,8.77,32.85,59.39,32.25,57.72,879.92,1010.29,,2016,10,16,Sunday
2016-10-16,12,2.64,,7.23,1.43,2.22,13.87,27.12,53.48,33.4,52.1,935.11,1009.59,,2016,10,16,Sunday
2016-10-16,13,0.78,,5.35,0.21,2.21,15.94,28.71,58.29,34.04,47.13,902.71,1008.64,,2016,10,16,Sunday
2016-10-16,14,1.54,,11.55,5.69,2.21,11.07,32.29,62.2,34.46,41.42,790.69,1007.7,0.02,2016,10,16,Sunday
