Date,Time,SO2,NO,NO2,NOX,CO,O3,PM25,PM10,Temperature,RH,Solar Rad,BP,Rain
2016-10-01,1,0.57,13.84,9.22,23.06,1.76,1.12,,124.34,29.48,80.56,7.99,1006.15,
2016-10-01,2,0.29,17.45,11.89,29.34,1.67,1.03,,69.42,29.01,82.86,8.06,1006.05,
2016-10-01,3,0.07,12.93,6.2,19.13,1.6,1.13,,83.36,28.84,83.68,8.19,1006.01,0.02
2016-10-01,4,0.08,9.69,0.92,10.61,1.54,1.05,,60.51,28.75,84.18,8.18,1006.14,
2016-10-01,5,0.07,,,1.97,1.48,0.99,,43.51,28.53,85.12,8.2,1006.36,
2016-10-01,6,1.08,,,,1.44,1.2,,26.87,27.98,83.48,8.35,1006.71,
2016-10-01,7,0.2,,2.09,,1.66,1.24,,23.5,27.01,82.81,13.69,1007.36,0.08
2016-10-01,8,0.12,,3.23,2.62,2.05,0.97,,41.22,26.87,85.8,48.36,1007.73,
2016-10-01,9,0.27,39.83,10.66,50.49,2.33,1.09,,49.47,28.33,83.92,211.88,1008.16,
2016-10-01,10,0.28,36.28,20.22,56.51,2.07,1.1,,66.98,30.46,76.01,550.7,1008.35,
2016-10-01,11,0.33,46.5,30.39,76.89,2.2,0.82,,101.93,31.19,71.77,459.63,1008.26,
2016-10-01,12,,24.95,46.87,71.82,1.91,1.54,,183.43,32.32,65.36,758.1,1007.83,
2016-10-01,13,,13.4,52.31,65.7,1.73,1.61,,157.72,32.91,62.56,522.61,1006.78,
2016-10-01,14,0.11,38.27,49.8,88.07,1.81,0.9,,115.92,31.74,68.13,151.19,1005.8,0.02
2016-10-01,15,0.34,18.06,30.54,48.6,1.79,1.62,,148.36,29.9,74.41,68.21,1005.17,0.02
2016-10-01,16,0.7,22.11,21.19,43.3,1.87,1.25,,162.42,29.47,72.87,79.13,1004.81,
2016-10-01,17,0.96,28.06,20.64,48.7,1.99,1.22,,210.87,30.31,70.26,76.61,1004.59,
2016-10-01,18,1.29,42.79,22.71,65.5,2.28,0.91,,242.56,30.63,69.72,31.46,1004.99,
2016-10-01,19,1.14,86.99,20.98,107.96,2.68,0.91,,328.14,30.28,72.06,7.95,1005.9,
2016-10-01,20,3.09,118.69,22.27,140.96,3.27,1.18,,168.67,30.1,74.34,8.24,1006.92,
2016-10-01,21,3.39,89.24,20.04,109.28,3.6,1.26,,257.17,30.26,74.23,8.04,1007.67,
2016-10-01,22,3.75,190.42,21.88,212.31,4.3,1.24,,232.92,30.32,75.2,8.43,1008.04,
2016-10-01,23,1.19,85.29,16.72,102.02,2.98,1.19,,400.6,30.15,76.16,8.19,1008.28,0.02
2016-10-01,0,0.42,34.82,9.01,43.83,2.11,1.08,,256.81,29.23,82.45,8.07,1008.54,
2016-10-02,1,0.35,35.26,6.61,41.87,1.91,1.02,,163.81,28.74,85.87,8.16,1008.24,
2016-10-02,2,0.57,27.74,4.53,32.27,1.89,1.09,,124.74,28.56,87.28,7.97,1008.29,
2016-10-02,3,12.3,28.35,3.36,31.72,1.96,0.68,,155.8,28.46,88.15,8.3,1008.46,
2016-10-02,4,10.35,13,5.07,18.07,1.77,0.63,,145.77,28.17,88.82,8.55,1008.14,
2016-10-02,5,6.49,22.87,34.75,57.62,1.74,0.6,,73.08,28.12,88.77,8.6,1008.5,
2016-10-02,6,3.44,33.57,103.98,137.55,1.65,0.52,,74.88,28.12,88.15,9.66,1009.4,
2016-10-02,7,,48.4,10.88,59.28,1.89,0.82,,38.89,28.35,86.77,45.23,1009.87,
2016-10-02,8,,29.64,9.45,39.09,1.77,0.94,,104.75,29.1,83.08,140.06,1010.44,
2016-10-02,9,1.15,19.62,10.29,29.91,1.69,0.98,,95.95,29.5,80.64,212.33,1010.71,
2016-10-02,10,1.11,3.15,7.45,10.6,1.5,1.1,,92.69,30.64,76.39,338.83,1010.84,
2016-10-02,11,,,6.81,5.27,1.54,1.23,,39,30.79,72.09,121.6,1010.74,
2016-10-02,12,0.29,9.46,14,23.46,1.93,1.29,,40.4,29.47,76.91,130.36,1010.13,
2016-10-02,13,0.24,11.76,15.7,27.45,2.02,1.48,,86.06,29.97,74.91,203.77,1009.06,
2016-10-02,14,1.37,3.1,10.98,14.08,1.68,2.08,,87.1,31.32,66.82,355.48,1007.86,
2016-10-02,15,3.15,2.99,13.7,16.69,1.63,2.58,,57.12,32.16,64.67,470.76,1006.78,
2016-10-02,16,0.72,4,16.7,20.71,1.64,2.35,31,61.23,32.19,65.52,275.94,1005.72,
2016-10-02,17,0.12,11.67,22.54,34.21,1.76,1.63,,70.69,31.42,68.14,98.92,1005.59,
2016-10-02,18,0.06,17.73,25.82,43.55,1.89,1.3,,122.09,30.88,69.51,24.81,1005.85,
2016-10-02,19,1.98,6.56,18.63,25.19,2,2.18,,124.81,29.75,78.53,8.27,1006.08,
2016-10-02,20,0.74,17.82,17,34.82,2.29,1.08,,119.08,29.3,82.65,8.08,1006.69,
2016-10-02,21,0.38,27.85,14.6,42.45,2.19,1.01,,161.23,29.17,84.4,8.14,1007.26,
2016-10-02,22,1.26,39.35,10.4,49.75,2.15,1.01,,211.31,29.02,85.94,8.34,1007.75,
2016-10-02,23,,42.38,10.33,52.71,2.07,1.01,,151.56,29.08,83.51,8.1,1007.79,
2016-10-02,0,0.07,32.97,7.36,40.33,1.81,1.01,,135.84,28.97,82.28,8.16,1007.58,
2016-10-03,1,0.61,45.08,6.27,51.36,1.8,1.07,,87.65,28.61,84.48,8.04,1007.26,
2016-10-03,2,0.39,49.95,9.71,59.67,1.66,0.92,,109.36,28.44,84.33,8.14,1007.15,
2016-10-03,3,0.45,64.95,17.61,82.57,1.73,1,,123.98,28.45,82.3,8.09,1006.87,
2016-10-03,4,0.37,64.92,8.84,73.75,1.67,0.9,,188.97,28.38,82.15,7.97,1006.71,
2016-10-03,5,0.9,82.32,14.61,96.93,1.77,0.98,,157.83,28.23,83.04,7.96,1006.72,
2016-10-03,6,0.24,56.19,12.93,69.12,1.69,0.93,,149.94,28.11,83.83,10.43,1007.2,
2016-10-03,7,0.82,51.61,7.83,59.44,1.86,0.92,,78.09,28.51,84.01,78.7,1007.76,
2016-10-03,8,0.6,16.54,12.83,29.37,1.65,1.23,,81.07,29.8,78.43,231.36,1008.37,
2016-10-03,9,1.41,28.71,12.86,41.57,1.66,1.41,,50.67,30.67,72.82,459.93,1008.84,
2016-10-03,10,0.28,,7.11,5.19,1.54,4.54,,73.62,32.25,70.11,626.25,1008.73,
2016-10-03,11,4.98,,4.24,1.04,1.56,7.14,,61.77,32.72,67.68,434.62,1007.97,
2016-10-03,12,1.12,,9.72,5.3,1.62,5.79,,54.17,33.57,62.65,613.14,1007.31,
2016-10-03,13,0.9,,30.2,26.52,1.63,6.92,,60.94,33.57,62.25,441.61,1006,
2016-10-03,14,0.16,,10.66,5.49,1.59,10.23,,58.97,33.6,60.6,286.18,1004.81,0.12
2016-10-03,15,,,16.39,16.03,1.73,7.15,,59.23,31.87,65.92,202.81,1004.14,
